classification,school,address,phone,website,cre-url,grade,type,programs,about-1,about-2,about-3,snippet_name,school_name,cre-url,cre_markup
public,Banff Trail School,"3232 Cochrane Road NW Calgary, AB T2M 4J2", 403-777-6120,http://school.cbe.ab.ca/school/banfftrail,,K - 6,Elementary,Dual Track,<p>Banff Trail School spirit is infectious! This dual track school offers an abundance of extracurricular activities for any student interest you can imagine!</p>,,,public-banff-trail-school,banff-trail-school,/uploads/agent-1/optimized-images/school-logos/public/banff-trail-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Banff Trail School</h3> <p>3232 Cochrane Road NW Calgary, AB T2M 4J2</p><p><strong>Phone Number:</strong>  403-777-6120</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/banfftrail' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/banff-trail-school.webp' alt='Banff Trail School Logo' width='80' height='80' title='Visit Banff Trail School website.'> </a> <div> <p><strong>Grades:</strong> K - 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Dual Track</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Banff Trail School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Banff Trail School</h4><p>Banff Trail School spirit is infectious! This dual track school offers an abundance of extracurricular activities for any student interest you can imagine!</p></div></div>"
public,Dalhousie School,"4440 Dallyn St NW Calgary, AB T3A 1K3",403-777-6030,http://school.cbe.ab.ca/school/Dalhousie,,K to 5,Elementary,Spanish Bilingual,"<p>Dalhousie School extends Spanish Bilingual programs that provide ample opportunities for its students from Grades K – 5 to enhance their speaking, writing and reading capabilities in Spanish and English, with both languages being given equal importance.</p>",,,public-dalhousie-school,dalhousie-school,/uploads/agent-1/optimized-images/school-logos/public/dalhousie-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Dalhousie School</h3> <p>4440 Dallyn St NW Calgary, AB T3A 1K3</p><p><strong>Phone Number:</strong> 403-777-6030</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/Dalhousie' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/dalhousie-school.webp' alt='Dalhousie School Logo' width='80' height='80' title='Visit Dalhousie School website.'> </a> <div> <p><strong>Grades:</strong> K to 5</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Spanish Bilingual</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Dalhousie School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Dalhousie School</h4><p>Dalhousie School extends Spanish Bilingual programs that provide ample opportunities for its students from Grades K – 5 to enhance their speaking, writing and reading capabilities in Spanish and English, with both languages being given equal importance.</p></div></div>"
public,Collingwood School,"3826 Collingwood Dr NW Calgary, AB T2L 0R6",403-777-6180,http://school.cbe.ab.ca/school/Collingwood/,,K-5,Elementary,Spanish Bilingual,"<p>Since 2001, Collingwood School has been an International Spanish Academy and extends Spanish bilingual programs to its students from Kindergarten to Grade 5. Their curriculum involves an inquiry-based learning approach and learners are motivated to explore their curiosities across various subjects.</p>",,,public-collingwood-school,collingwood-school,/uploads/agent-1/optimized-images/school-logos/public/collingwood-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Collingwood School</h3> <p>3826 Collingwood Dr NW Calgary, AB T2L 0R6</p><p><strong>Phone Number:</strong> 403-777-6180</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/Collingwood/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/collingwood-school.webp' alt='Collingwood School Logo' width='80' height='80' title='Visit Collingwood School website.'> </a> <div> <p><strong>Grades:</strong> K-5</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Spanish Bilingual</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Collingwood School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Collingwood School</h4><p>Since 2001, Collingwood School has been an International Spanish Academy and extends Spanish bilingual programs to its students from Kindergarten to Grade 5. Their curriculum involves an inquiry-based learning approach and learners are motivated to explore their curiosities across various subjects.</p></div></div>"
public,Capitol Hill School,"2210 18 St NW Calgary, AB T2M 3T4",403-777-6160,http://school.cbe.ab.ca/school/capitolhill,,K - 6,Elementary,Regular,"<p>This school also boasts two special education classrooms, an onsite before-and-after school child care program, as well as a Kindergarten Enhancement program that helps learners succeed.</p>",,,public-capitol-hill-school,capitol-hill-school,/uploads/agent-1/optimized-images/school-logos/public/capitol-hill-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Capitol Hill School</h3> <p>2210 18 St NW Calgary, AB T2M 3T4</p><p><strong>Phone Number:</strong> 403-777-6160</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/capitolhill' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/capitol-hill-school.webp' alt='Capitol Hill School Logo' width='80' height='80' title='Visit Capitol Hill School website.'> </a> <div> <p><strong>Grades:</strong> K - 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Capitol Hill School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Capitol Hill School</h4><p>This school also boasts two special education classrooms, an onsite before-and-after school child care program, as well as a Kindergarten Enhancement program that helps learners succeed.</p></div></div>"
public,Simon Fraser School,"5215 33 St NW Calgary, AB T2L 1V3",403-777-7290,http://school.cbe.ab.ca/school/SimonFraser/,,9-May,Middle,Regular,"<p>Built in 1964, the Simon Fraser School has 28 classrooms and a generously equipped Learning Commons. Being a state-of-the-art middle school, their Mac labs and computer clusters on campus have Mac and PC computer formats, while their wireless environment includes laptops and iPads.</p>",,,public-simon-fraser-school,simon-fraser-school,/uploads/agent-1/optimized-images/school-logos/public/simon-fraser-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Simon Fraser School</h3> <p>5215 33 St NW Calgary, AB T2L 1V3</p><p><strong>Phone Number:</strong> 403-777-7290</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/SimonFraser/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/simon-fraser-school.webp' alt='Simon Fraser School Logo' width='80' height='80' title='Visit Simon Fraser School website.'> </a> <div> <p><strong>Grades:</strong> 5 - 9</p><p><strong>Type:</strong> Middle</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Simon Fraser School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Simon Fraser School</h4><p>Built in 1964, the Simon Fraser School has 28 classrooms and a generously equipped Learning Commons. Being a state-of-the-art middle school, their Mac labs and computer clusters on campus have Mac and PC computer formats, while their wireless environment includes laptops and iPads.</p></div></div>"
public,Senator Patrick Burns School,"2055 Chilcotin Rd NW, Calgary, AB T2L 0X2",403-777-7400,http://school.cbe.ab.ca/school/SenatorPatrickBurns/,,9-Jul, Middle,"Regular, Spanish, Billingual, Sport","<p>Senator Patrick Burns is one of the largest International Spanish Academies in Canada! Billingual programming is available for grades 6-9 students, or English-only 7-9 students.</p>",,,public-senator-patrick-burns-school,senator-patrick-burns-school,/uploads/agent-1/optimized-images/school-logos/public/senator-patrick-burns-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Senator Patrick Burns School</h3> <p>2055 Chilcotin Rd NW, Calgary, AB T2L 0X2</p><p><strong>Phone Number:</strong> 403-777-7400</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/SenatorPatrickBurns/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/senator-patrick-burns-school.webp' alt='Senator Patrick Burns School Logo' width='80' height='80' title='Visit Senator Patrick Burns School website.'> </a> <div> <p><strong>Grades:</strong> 7 - 9</p><p><strong>Type:</strong>  Middle</p><p><strong>Programs:</strong> Regular, Spanish, Billingual, Sport</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Senator Patrick Burns School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Senator Patrick Burns School</h4><p>Senator Patrick Burns is one of the largest International Spanish Academies in Canada! Billingual programming is available for grades 6-9 students, or English-only 7-9 students.</p></div></div>"
public,William Aberhart High School,"3009 Morley Trail NW Calgary, AB T2M 4G0",403-289-2551,http://school.cbe.ab.ca/school/williamaberhart/,,12-Oct,Senior,"Regular, Advanced Placement, French Immersion, Spanish Billingual",<p>William Aberhart Highschool offers a robust academics program and a wide variety of language learning options for senior high school students.</p>,,,public-william-aberhart-high-school,william-aberhart-high-school,/uploads/agent-1/optimized-images/school-logos/public/william-aberhart-high-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>William Aberhart High School</h3> <p>3009 Morley Trail NW Calgary, AB T2M 4G0</p><p><strong>Phone Number:</strong> 403-289-2551</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/williamaberhart/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/william-aberhart-high-school.webp' alt='William Aberhart High School Logo' width='80' height='80' title='Visit William Aberhart High School website.'> </a> <div> <p><strong>Grades:</strong> 10 - 12</p><p><strong>Type:</strong> Senior</p><p><strong>Programs:</strong> Regular, Advanced Placement, French Immersion, Spanish Billingual</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about William Aberhart High School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About William Aberhart High School</h4><p>William Aberhart Highschool offers a robust academics program and a wide variety of language learning options for senior high school students.</p></div></div>"
public,West Dalhousie School,"6502 58 St NW Calgary, AB T3A 2C8",403-777-6110,http://school.cbe.ab.ca/school/westdalhousie/,,K to 6,Elementary,Regular,"<p>With a generative curriculum philosophy and excellent learning program that focuses on academic rigor, West Dalhousie School has a committed school council and, a multi-aged and team-teaching environment that encourages students to explore their full potential while emphasizing the importance of communication.</p>",,,public-west-dalhousie-school,west-dalhousie-school,/uploads/agent-1/optimized-images/school-logos/public/west-dalhousie-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>West Dalhousie School</h3> <p>6502 58 St NW Calgary, AB T3A 2C8</p><p><strong>Phone Number:</strong> 403-777-6110</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/westdalhousie/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/west-dalhousie-school.webp' alt='West Dalhousie School Logo' width='80' height='80' title='Visit West Dalhousie School website.'> </a> <div> <p><strong>Grades:</strong> K to 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about West Dalhousie School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About West Dalhousie School</h4><p>With a generative curriculum philosophy and excellent learning program that focuses on academic rigor, West Dalhousie School has a committed school council and, a multi-aged and team-teaching environment that encourages students to explore their full potential while emphasizing the importance of communication.</p></div></div>"
public,Ranchlands School,"610 Ranchlands Blvd NW Calgary, AB T3G 2C5",403-777-6350,http://school.cbe.ab.ca/school/ranchlands,,K to 6,Elementary,Regular,"<p>Located and operational in the community of Ranchlands in northwest Calgary, the Ranchlands School features a one system special education classroom that offers Paced Learning Program for students in Area 1.</p>",,,public-ranchlands-school,ranchlands-school,/uploads/agent-1/optimized-images/school-logos/public/ranchlands-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Ranchlands School</h3> <p>610 Ranchlands Blvd NW Calgary, AB T3G 2C5</p><p><strong>Phone Number:</strong> 403-777-6350</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/ranchlands' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/ranchlands-school.webp' alt='Ranchlands School Logo' width='80' height='80' title='Visit Ranchlands School website.'> </a> <div> <p><strong>Grades:</strong> K to 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Ranchlands School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Ranchlands School</h4><p>Located and operational in the community of Ranchlands in northwest Calgary, the Ranchlands School features a one system special education classroom that offers Paced Learning Program for students in Area 1.</p></div></div>"
public,Edgemont School,"55 Edgevalley Cir NW, Calgary AB T3A 4X1",403-777-6340,http://school.cbe.ab.ca/school/Edgemont,,K - 5,Elementary,Regular,<p>A learning environment where children of different ages and abilities work together cooperatively and collaboratively through extra curricular activities as well as buddy classes.</p>,,,public-edgemont-school,edgemont-school,/uploads/agent-1/optimized-images/school-logos/public/edgemont-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Edgemont School</h3> <p>55 Edgevalley Cir NW, Calgary AB T3A 4X1</p><p><strong>Phone Number:</strong> 403-777-6340</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/Edgemont' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/edgemont-school.webp' alt='Edgemont School Logo' width='80' height='80' title='Visit Edgemont School website.'> </a> <div> <p><strong>Grades:</strong> K - 5</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Edgemont School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Edgemont School</h4><p>A learning environment where children of different ages and abilities work together cooperatively and collaboratively through extra curricular activities as well as buddy classes.</p></div></div>"
public,The Hamptons School,"10330 Hamptons Blvd NW Calgary, AB T3A 6G2",403-777-7300,http://school.cbe.ab.ca/school/hamptons/,,K - 4,Elementary, Regular,"<p>With a strong academic focus, strong fine arts programming, and a lunch program, parents can be rest assured that their children are receiving the best education in a collaborative environment with quality child-centric educators focused on their students utmost success.</p>",,,public-the-hamptons-school,the-hamptons-school,/uploads/agent-1/optimized-images/school-logos/public/the-hamptons-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>The Hamptons School</h3> <p>10330 Hamptons Blvd NW Calgary, AB T3A 6G2</p><p><strong>Phone Number:</strong> 403-777-7300</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/hamptons/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/the-hamptons-school.webp' alt='The Hamptons School Logo' width='80' height='80' title='Visit The Hamptons School website.'> </a> <div> <p><strong>Grades:</strong> K - 4</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong>  Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about The Hamptons School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About The Hamptons School</h4><p>With a strong academic focus, strong fine arts programming, and a lunch program, parents can be rest assured that their children are receiving the best education in a collaborative environment with quality child-centric educators focused on their students utmost success.</p></div></div>"
public,Tom Baines School,"250 Edgepark Blvd NW Calgary, AB T3A 3S2",403-777-7190,http://school.cbe.ab.ca/school/TomBaines/,,9-Jun,Middle,Regular,"<p>Tom Baines School takes a unique approach to learning - academic classes are grouped into a pod structure that fosters greater communication between teachers, letting them attend to your individual child's needs!</p>",,,public-tom-baines-school,tom-baines-school,/uploads/agent-1/optimized-images/school-logos/public/tom-baines-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Tom Baines School</h3> <p>250 Edgepark Blvd NW Calgary, AB T3A 3S2</p><p><strong>Phone Number:</strong> 403-777-7190</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/TomBaines/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/tom-baines-school.webp' alt='Tom Baines School Logo' width='80' height='80' title='Visit Tom Baines School website.'> </a> <div> <p><strong>Grades:</strong> 6 - 9</p><p><strong>Type:</strong> Middle</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Tom Baines School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Tom Baines School</h4><p>Tom Baines School takes a unique approach to learning - academic classes are grouped into a pod structure that fosters greater communication between teachers, letting them attend to your individual child's needs!</p></div></div>"
public,National Sport School,"Suite 110 151 Canada Olympic Road SW Calgary, AB T3B 6B7", 403-777-7329,http://school.cbe.ab.ca/school/NationalSport/,,9 to 12,Junior/Senior,Sports,"<p>Founded by the CBE and WinSport Canada, National Sports School extends comprehensive and flexible academic programs that accommodate the training, travel and competition demands of over 160 developing and elite performing student-athletes who represent the best across 21 different Olympic sports.</p>",,,public-national-sport-school,national-sport-school,/uploads/agent-1/optimized-images/school-logos/public/national-sport-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>National Sport School</h3> <p>Suite 110 151 Canada Olympic Road SW Calgary, AB T3B 6B7</p><p><strong>Phone Number:</strong>  403-777-7329</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/NationalSport/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/national-sport-school.webp' alt='National Sport School Logo' width='80' height='80' title='Visit National Sport School website.'> </a> <div> <p><strong>Grades:</strong> 9 to 12</p><p><strong>Type:</strong> Junior/Senior</p><p><strong>Programs:</strong> Sports</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about National Sport School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About National Sport School</h4><p>Founded by the CBE and WinSport Canada, National Sports School extends comprehensive and flexible academic programs that accommodate the training, travel and competition demands of over 160 developing and elite performing student-athletes who represent the best across 21 different Olympic sports.</p></div></div>"
public,Sir Winston Churchill High School,"5220 Northland Dr NW Calgary, AB T2l 2J6",403-289-9241,http://school.cbe.ab.ca/school/sirwinstonchurchill,,12-Oct,Senior," Regular, Dual Credit, International Baccalaureate (IB), Off Campus Work Experience","<p>Ideally situated near the Northland Village Mall, Sir Winston Churchill High School services the northwest community of Calgary. Their expansive eight acres of outdoor park space is shared with the neighboring Simon Fraser Junior High and Captain John Palliser Elementary.</p>",,,public-sir-winston-churchill-high-school,sir-winston-churchill-high-school,/uploads/agent-1/optimized-images/school-logos/public/sir-winston-churchill-high-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Sir Winston Churchill High School</h3> <p>5220 Northland Dr NW Calgary, AB T2l 2J6</p><p><strong>Phone Number:</strong> 403-289-9241</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/sirwinstonchurchill' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/sir-winston-churchill-high-school.webp' alt='Sir Winston Churchill High School Logo' width='80' height='80' title='Visit Sir Winston Churchill High School website.'> </a> <div> <p><strong>Grades:</strong> 10 - 12</p><p><strong>Type:</strong> Senior</p><p><strong>Programs:</strong>  Regular, Dual Credit, International Baccalaureate (IB), Off Campus Work Experience</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Sir Winston Churchill High School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Sir Winston Churchill High School</h4><p>Ideally situated near the Northland Village Mall, Sir Winston Churchill High School services the northwest community of Calgary. Their expansive eight acres of outdoor park space is shared with the neighboring Simon Fraser Junior High and Captain John Palliser Elementary.</p></div></div>"
public,F.E. Osborne School,"5315 Varsity Dr NW Calgary, AB T3A 1A7",403-777-7540,http://school.cbe.ab.ca/school/feosborne/,,7 to 9,Junior,Regular,"<p>Situated in the peaceful neighbourhood of Varsity in northwest Calgary, the F.E. Osborne School has been a consistent achiever of the above standard Provincial Achievement Results.</p>",,,public-fe-osborne-school,fe-osborne-school,/uploads/agent-1/optimized-images/school-logos/public/fe-osborne-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>F.E. Osborne School</h3> <p>5315 Varsity Dr NW Calgary, AB T3A 1A7</p><p><strong>Phone Number:</strong> 403-777-7540</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/feosborne/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/fe-osborne-school.webp' alt='F.E. Osborne School Logo' width='80' height='80' title='Visit F.E. Osborne School website.'> </a> <div> <p><strong>Grades:</strong> 7 to 9</p><p><strong>Type:</strong> Junior</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about F.E. Osborne School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About F.E. Osborne School</h4><p>Situated in the peaceful neighbourhood of Varsity in northwest Calgary, the F.E. Osborne School has been a consistent achiever of the above standard Provincial Achievement Results.</p></div></div>"
